alcaldia,sexo,poblacion,pob_3ymas,p_nacoe,P_vivoe,p_3ym_hli,p_3ym_hli_nhe,p_3ym_hli_he,p_afromex,t_nacoe,t_vivoe,t_3ym_hli,t_3ym_hli_nhe,t_3ym_hli_he,t_afromex
AZCAPOTZALCO,Hombre,204950,198686,34911,9972,1500,6,1481,4361,17.033910709929252,4.865576969992682,0.7549600877766929,0.0030198403511067715,0.7453972599981881,2.1278360575750184
COYOACAN,Hombre,289110,281509,47413,9580,3306,23,3263,5358,16.39964027532773,3.31361765418007,1.1743851883953977,0.008170253881758665,1.1591103659208053,1.8532738404067655
CUAJIMALPA DE MORELOS,Hombre,104149,99995,13803,3360,860,3,835,1529,13.253127730463088,3.2261471545574127,0.8600430021501074,0.0030001500075003754,0.8350417520876044,1.4680889878923467
GUSTAVO A. MADERO,Hombre,563874,545805,97420,19052,6751,39,6580,10748,17.27690938046443,3.3787690157730275,1.2368886323870247,0.007145409074669524,1.2055587618288583,1.9060995896246324
IZTACALCO,Hombre,192352,186368,29418,7242,2125,12,2097,3439,15.293836300116453,3.7649725503244054,1.1402172046703296,0.006438873626373627,1.1251931662087913,1.787868075195475
IZTAPALAPA,Hombre,887651,858118,162845,20683,13956,122,13571,16512,18.345611056597694,2.330082431045535,1.6263497560941502,0.014217158945506328,1.5814841315530033,1.8601905478617158
LA MAGDALENA CONTRERAS,Hombre,118287,114683,15347,1902,1226,5,1209,2682,12.97437588238775,1.6079535367369195,1.0690337713523366,0.004359844091975271,1.0542103014396205,2.267366659058054
MILPA ALTA,Hombre,74371,71503,10644,1221,2459,13,2432,1119,14.312030226835729,1.641768969087413,3.43901654476036,0.018181055340335373,3.4012558913612017,1.5046187357975556
ALVARO OBREGON,Hombre,361007,349957,52769,9185,3523,17,3452,7793,14.617168088153415,2.544271994725864,1.006695108256157,0.004857739665158862,0.9864069014193172,2.1586839036362178
TLAHUAC,Hombre,190190,183508,30664,4332,2321,20,2288,3626,16.122824543877176,2.277722277722278,1.2647949953135558,0.010898707413300783,1.2468121280816096,1.9065145380934856
TLALPAN,Hombre,334877,325035,61220,10899,5467,27,5409,5983,18.281339118542032,3.2546278185721924,1.6819727106311628,0.008306797729475289,1.6641284784715493,1.7866261343717247
XOCHIMILCO,Hombre,215452,208396,34424,3852,5240,31,5149,4974,15.977572730817071,1.78786922377142,2.514443655348471,0.014875525441947063,2.4707767903414655,2.3086348699478303
BENITO JUAREZ,Hombre,202121,197361,38276,12696,1406,1,1398,5974,18.937171298380672,6.281385902503946,0.7124001195778294,5.066857180496653e-4,0.7083466338334321,2.9556552758001393
CUAUHTEMOC,Hombre,260951,253688,49611,14018,4315,15,4266,7240,19.01161520745274,5.371889741752283,1.700908202201129,0.005912774746933241,1.6815931380278137,2.774467237144138
MIGUEL HIDALGO,Hombre,195467,186702,34962,12604,1376,9,1361,5459,17.886395145983723,6.448147257593353,0.7370033529367656,0.004820516116592216,0.7289691594091119,2.7927987844495488
VENUSTIANO CARRANZA,Hombre,210118,203399,30626,7381,2400,15,2362,5112,14.575619413853168,3.5127880524276835,1.1799468040649166,0.00737466752540573,1.1612643130005555,2.432918645713361
